id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
0,cafe,noun,a1,N/A,ಕಾಫಿ ಅಂಗಡಿ / ಕ್ಯಾಫೆ / ಕಾಫಿ ಮನೆ,kāphi aṁgaḍi / kyāphe / kāphi mane
1,cake,noun,a1,N/A,ಕೇಕ್,kēk
2,to calculate (to estimate or gauge),verb,b2,transitive,ಲೆಕ್ಕ ಹಾಕು / ಅಂದಾಜು ಮಾಡು / ಗಣಿಸು,lekka hāku / aṁdāju māḍu / gaṇisu
3,to calculate (mathematical),verb,b1,transitive,ಲೆಕ್ಕಾಚಾರ ಮಾಡು / ಲೆಕ್ಕಿಸು / ಲೆಕ್ಕ ಹಾಕು / ಗಣಿಸು,lekkācāra māḍu / lekkisu / lekka hāku / gaṇisu
4,calculation (strategic planning),noun,c1,N/A,ಲೆಕ್ಕಾಚಾರ / ಯೋಜನೆ / ತಂತ್ರಗಾರಿಕೆ,lekkācāra / yōjane / taṁtragārike
5,calculation (mathematical),noun,b1,N/A,ಲೆಕ್ಕಾಚಾರ / ಲೆಕ್ಕ / ಗಣನೆ,lekkācāra / lekka / gaṇane
6,call (telephone),noun,a1,N/A,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,phōn kare / kare / dūravāṇi kare
7,"call (shout, cry)",noun,a1,N/A,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,kūgu / kare / āhvāna
8,to call (by telephone),verb,a1,transitive,ಫೋನ್ ಮಾಡು / ಕರೆ ಮಾಡು / ದೂರವಾಣಿ ಮಾಡು,phōn māḍu / kare māḍu / dūravāṇi māḍu
9,to call (to name or summon),verb,a1,transitive,ಕರೆ / ಕೂಗು / ಆಹ್ವಾನಿಸು,kare / kūgu / āhvānisu
10,"calm (of a person, composed)",adjective,b1,N/A,ಶಾಂತ / ಸಮಾಧಾನದ / ಸಂಯಮದ / ನಿಮ್ಮಳ,śāṁta / samādhānada / saṁyamada / nimmaḷa
11,"calm (weather, sea, tranquil)",adjective,b1,N/A,ಶಾಂತ / ಪ್ರಶಾಂತ / ನಿಶ್ಶಬ್ದ / ಸ್ಥಿರ,śāṁta / praśāṁta / niśśabda / sthira
