word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
हिंदी,Hindi (language),hiṁdī,noun,a1,new,,,hindi
दुनिया,world,duniyā,noun,a1,new,,,hindi
वाला,one which (possessing a quality),vālā,adjective,a1,new,,,hindi
भाषा,language,bhāṣā,noun,a1,new,,,hindi
रूप,"form (shape, appearance)",rūp,noun,a2,new,,,hindi
भारत,India,bhārat,noun,a1,new,,,hindi
मध्य,middle (central),madhy,adjective,b1,new,,,hindi
भाग,part (a piece or section),bhāg,noun,a2,new,,,hindi
देवनागरी,Devanagari (the script used for Hindi),dēvanāgarī,noun,b1,new,,,hindi
लिपि,script (writing system),lipi,noun,b1,new,,,hindi
