word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
वायुमंडल,atmosphere,vāyumaṁḍal,noun,b2,new,,,hindi
व्याप्त,prevalent (pervasive),vyāpt,adjective,c1,new,,,hindi
अशांति,unrest (disturbance),aśāṁti,noun,b2,new,,,hindi
कारण,reason (cause),kāraṇ,noun,a2,new,,,hindi
छावनी,cantonment (military camp),chāvanī,noun,b2,new,,,hindi
शुभागमन,auspicious arrival,śubhāgaman,noun,c1,new,,,hindi
कार्यभार,responsibility (charge),kāryabhār,noun,b2,new,,,hindi
क्रम,order (sequence; series),kram,noun,b1,new,,,hindi
वाला,one who (related to; about to),vālā,adjective,a2,new,,,hindi
घुसपैठ,infiltration (intrusion),ghusapaiṭh,noun,b2,new,,,hindi
वहाँ,there,vahām,adverb,a1,new,,,hindi
माहौल,atmosphere (mood),māhaul,noun,b1,new,,,hindi
तनावपूर्ण,tense (stressful),tanāvapūrṇ,adjective,b2,new,,,hindi
खुफिया,secret (intelligence),khuphiyā,adjective,b2,new,,,hindi
विभाग,department (division),vibhāg,noun,b1,new,,,hindi
ने,agentive case marker,nē,preposition,a1,new,,,hindi
प्रतिबंध,ban (restriction),pratibaṁdh,noun,b2,new,,,hindi
उल्लंघन,violation (breach),ullaṁghan,noun,b2,new,,,hindi
बंदी,prisoner (captive),baṁdī,noun,b2,new,,,hindi
सूचना,information (notice),sūcanā,noun,b1,new,,,hindi
विद्रोही,rebel (insurgent),vidrōhī,noun,b2,new,,,hindi
शस्त्र,weapon (arms),śastr,noun,b2,new,,,hindi
संचायक,storage (accumulating),saṁcāyak,adjective,c1,new,,,hindi
उपकरण,equipment (apparatus),upakaraṇ,noun,b1,new,,,hindi
उपलब्धता,availability,upalabdhatā,noun,b2,new,,,hindi
सेना,army (military force),sēnā,noun,a2,new,,,hindi
प्रभुत्व,dominance (sovereignty),prabhutv,noun,c1,new,,,hindi
चुनौती,challenge,cunautī,noun,b1,new,,,hindi
स्थिति,situation (condition),sthiti,noun,b1,new,,,hindi
साम्य,equality (similarity),sāmy,noun,c1,new,,,hindi
निर्देश,instruction (direction),nirdēś,noun,b1,new,,,hindi
मिशन,mission,miśan,noun,a2,new,,,hindi
प्रामाणिकता,authenticity (validity),prāmāṇikatā,noun,c1,new,,,hindi
लिए,for,liē,preposition,a1,new,,,hindi
नियुक्त,appointed,niyukt,adjective,b2,new,,,hindi
जो,who (relative),jō,pronoun,a2,new,,,hindi
समस्या,problem,samasyā,noun,a2,new,,,hindi
विश्लेषण,analysis,viślēṣaṇ,noun,b2,new,,,hindi
महारत,mastery; expertise,mahārat,noun,c1,new,,,hindi
त्वरित,quick; prompt; immediate,tvarit,adjective,b2,new,,,hindi
कार्रवाई,action (legal or official measure),kārravāī,noun,b2,new,,,hindi
क्षेत्र,area; field; region,kṣētr,noun,a2,new,,,hindi
शांति,peace; silence,śāṁti,noun,a2,new,,,hindi
