word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
वायुमंडल,atmosphere (the layer of gases),vāyumaṁḍal,noun,b2,new,,,hindi
व्याप्त,prevalent (pervasive or widespread),vyāpt,adjective,c1,new,,,hindi
अशांति,unrest (disturbance or turmoil),aśāṁti,noun,b2,new,,,hindi
कारण,reason (cause),kāraṇ,noun,a2,new,,,hindi
छावनी,cantonment (military camp),chāvanī,noun,b2,new,,,hindi
शुभागमन,auspicious arrival (welcome),śubhāgaman,noun,c1,new,,,hindi
कार्यभार,responsibility (charge),kāryabhār,noun,b2,new,,,hindi
क्रम,order (sequence or series),kram,noun,b1,new,,,hindi
वाला,one who (pertaining to),vālā,adjective,a2,new,,,hindi
घुसपैठ,intrusion (infiltration),ghusapaiṭh,noun,b2,new,,,hindi
वहाँ,there,vahām,adverb,a1,new,,,hindi
माहौल,atmosphere (environment),māhaul,noun,b1,new,,,hindi
तनावपूर्ण,tense (stressful),tanāvapūrṇ,adjective,b2,new,,,hindi
खुफिया,secret (intelligence),khuphiyā,adjective,b2,new,,,hindi
विभाग,department (division),vibhāg,noun,a2,new,,,hindi
ने,ergative case marker,nē,preposition,a1,new,,,hindi
प्रतिबंध,restriction (ban or limitation),pratibaṁdh,noun,b2,new,,,hindi
उल्लंघन,violation (infringement or breach),ullaṁghan,noun,b2,new,,,hindi
बंदी,prisoner (captive),baṁdī,noun,b2,new,,,hindi
सूचना,information (notice or news),sūcanā,noun,a2,new,,,hindi
विद्रोही,rebel (insurgent),vidrōhī,noun,c1,new,,,hindi
शस्त्र,weapon (arm),śastr,noun,b2,new,,,hindi
संचायक,storage (accumulating),saṁcāyak,adjective,c2,new,,,hindi
उपकरण,equipment (tool or instrument),upakaraṇ,noun,b2,new,,,hindi
उपलब्धता,availability,upalabdhatā,noun,b2,new,,,hindi
सेना,army (military force),sēnā,noun,a2,new,,,hindi
प्रभुत्व,dominance (sovereignty or influence),prabhutv,noun,c1,new,,,hindi
चुनौती,challenge,cunautī,noun,b1,new,,,hindi
स्थिति,situation (condition or status),sthiti,noun,b1,new,,,hindi
साम्य,equality (similarity or parity),sāmy,noun,c1,new,,,hindi
निर्देश,instruction (direction),nirdēś,noun,b1,new,,,hindi
मिशन,mission (task),miśan,noun,b1,new,,,hindi
प्रामाणिकता,authenticity (credibility),prāmāṇikatā,noun,c1,new,,,hindi
लिए,for,liē,preposition,a1,new,,,hindi
नियुक्त,appointed,niyukt,adjective,b2,new,,,hindi
जो,who (relative pronoun),jō,pronoun,a2,new,,,hindi
समस्या,problem (issue),samasyā,noun,a2,new,,,hindi
विश्लेषण,analysis,viślēṣaṇ,noun,b2,new,,,hindi
महारत,mastery (expertise or skill),mahārat,noun,c1,new,,,hindi
त्वरित,quick (immediate or rapid),tvarit,adjective,b2,new,,,hindi
कार्रवाई,action (formal or legal proceeding),kārravāī,noun,b2,new,,,hindi
क्षेत्र,area (a specific region or field),kṣētr,noun,a2,new,,,hindi
शांति,peace (tranquility),śāṁti,noun,a2,new,,,hindi
