word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
वायुमंडल,atmosphere,vāyumaṁḍal,noun,b2,new,,,hindi
व्याप्त,prevalent (widespread),vyāpt,adjective,c1,new,,,hindi
अशांति,unrest (disturbance),aśāṁti,noun,b2,new,,,hindi
कारण,reason (cause),kāraṇ,noun,a2,new,,,hindi
छावनी,cantonment (military camp),chāvanī,noun,b2,new,,,hindi
शुभागमन,auspicious arrival,śubhāgaman,noun,b2,new,,,hindi
कार्यभार,responsibility (charge or workload),kāryabhār,noun,b2,new,,,hindi
क्रम,order; sequence,kram,noun,b1,new,,,hindi
वाला,one who (possessing a quality),vālā,adjective,a2,new,,,hindi
घुसपैठ,infiltration (unauthorized entry),ghusapaiṭh,noun,b2,new,,,hindi
वहाँ,there,vahām,adverb,a1,new,,,hindi
माहौल,atmosphere (environment or mood),māhaul,noun,b1,new,,,hindi
तनावपूर्ण,tense (stressful),tanāvapūrṇ,adjective,b2,new,,,hindi
खुफिया,intelligence (secret or undercover),khuphiyā,adjective,b2,new,,,hindi
विभाग,department (division),vibhāg,noun,b1,new,,,hindi
ने,ergative case marker,nē,preposition,a1,new,,,hindi
प्रतिबंध,"restriction (ban, prohibition)",pratibaṁdh,noun,b2,new,,,hindi
उल्लंघन,"violation (breach, infringement)",ullaṁghan,noun,b2,new,,,hindi
बंदी,"captive (prisoner, detainee)",baṁdī,noun,b2,new,,,hindi
सूचना,"information (notice, news)",sūcanā,noun,a2,new,,,hindi
