word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
शब्दावली,vocabulary,śabdāvalī,noun,b2,new,,,hindi
संस्कृत,Sanskrit language,saṁskr̥t,noun,b1,new,,,hindi
गहराई,depth,gaharāī,noun,b2,new,,,hindi
अरबी,Arabic (language),arabī,noun,b1,new,,,hindi
फारसी,Persian (language),phārasī,noun,b1,new,,,hindi
अंग्रेजी,English (language),aṁgrējī,noun,a1,new,,,hindi
शब्द,word,śabd,noun,a1,new,,,hindi
समावेश,inclusion (incorporation or integration),samāvēś,noun,b1,new,,,hindi
कारण,reason (cause or motive),kāraṇ,noun,b1,new,,,hindi
ही,only (emphatic particle),hī,adverb,a1,new,,,hindi
